
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        148 K
Secure System                  172 Services                   0     49,268 K
Registry                       204 Services                   0     29,064 K
smss.exe                       744 Services                   0      1,248 K
csrss.exe                     1016 Services                   0      5,252 K
wininit.exe                   1048 Services                   0      6,396 K
csrss.exe                     1068 Console                    1      6,204 K
services.exe                  1120 Services                   0     10,824 K
LsaIso.exe                    1140 Services                   0      3,564 K
lsass.exe                     1156 Services                   0     29,352 K
svchost.exe                   1264 Services                   0     32,120 K
fontdrvhost.exe               1292 Services                   0      3,360 K
winlogon.exe                  1356 Console                    1     11,612 K
WUDFHost.exe                  1380 Services                   0     16,664 K
fontdrvhost.exe               1464 Console                    1      7,928 K
svchost.exe                   1472 Services                   0     15,296 K
svchost.exe                   1564 Services                   0      8,776 K
WUDFHost.exe                  1664 Services                   0     13,988 K
dwm.exe                       1688 Console                    1   1,77,404 K
svchost.exe                   1808 Services                   0      5,328 K
svchost.exe                   1864 Services                   0      5,292 K
svchost.exe                   1860 Services                   0      6,252 K
svchost.exe                   1920 Services                   0     10,208 K
svchost.exe                   1964 Services                   0      8,220 K
svchost.exe                   1984 Services                   0     17,688 K
svchost.exe                   1996 Services                   0     12,916 K
svchost.exe                   2004 Services                   0     12,072 K
svchost.exe                   1492 Services                   0     10,932 K
svchost.exe                   1168 Services                   0     10,008 K
WUDFHost.exe                  1840 Services                   0      7,856 K
svchost.exe                   2040 Services                   0     10,392 K
svchost.exe                   2156 Services                   0      8,460 K
svchost.exe                   2224 Services                   0     17,064 K
svchost.exe                   2256 Services                   0     16,432 K
IntelCpHDCPSvc.exe            2352 Services                   0      5,552 K
svchost.exe                   2392 Services                   0      9,052 K
svchost.exe                   2408 Services                   0     10,472 K
svchost.exe                   2468 Services                   0      8,128 K
svchost.exe                   2508 Services                   0      5,776 K
svchost.exe                   2532 Services                   0      6,616 K
svchost.exe                   2788 Services                   0     14,928 K
svchost.exe                   2884 Services                   0      9,008 K
svchost.exe                   2900 Services                   0      7,500 K
svchost.exe                   2980 Services                   0     13,460 K
svchost.exe                   3000 Services                   0      6,880 K
MsMpEng.exe                   3380 Services                   0   2,49,432 K
svchost.exe                   3400 Services                   0      8,176 K
NVDisplay.Container.exe       3564 Services                   0     21,136 K
svchost.exe                   3628 Services                   0     23,244 K
svchost.exe                   3680 Services                   0      5,816 K
svchost.exe                   3692 Services                   0     12,672 K
svchost.exe                   3700 Services                   0      7,972 K
Memory Compression            3816 Services                   0     12,260 K
svchost.exe                   3880 Services                   0      8,440 K
svchost.exe                   3952 Services                   0      8,704 K
svchost.exe                   3960 Services                   0      8,064 K
svchost.exe                   3980 Services                   0     20,816 K
NVDisplay.Container.exe       1008 Console                    1     58,004 K
svchost.exe                   4120 Services                   0     19,092 K
svchost.exe                   4148 Services                   0     13,880 K
svchost.exe                   4204 Services                   0      7,108 K
svchost.exe                   4312 Services                   0      6,868 K
svchost.exe                   4516 Services                   0     20,396 K
svchost.exe                   4524 Services                   0      8,640 K
svchost.exe                   4616 Services                   0     13,488 K
WmiPrvSE.exe                  4700 Services                   0     15,732 K
spoolsv.exe                   4768 Services                   0     17,052 K
svchost.exe                   4884 Services                   0     21,392 K
wlanext.exe                   4972 Services                   0      7,020 K
conhost.exe                   4996 Services                   0      9,220 K
svchost.exe                   5108 Services                   0      8,272 K
svchost.exe                   4040 Services                   0      9,260 K
svchost.exe                   4384 Services                   0     11,988 K
ACCSvc.exe                    5304 Services                   0      6,612 K
wvs_supervisor.exe            5316 Services                   0      7,884 K
pg_ctl.exe                    5324 Services                   0      9,416 K
svchost.exe                   5332 Services                   0     44,456 K
svchost.exe                   5344 Services                   0     11,348 K
svchost.exe                   5352 Services                   0     21,684 K
IntelAudioService.exe         5360 Services                   0     50,212 K
svchost.exe                   5368 Services                   0      8,424 K
RtkAudUService64.exe          5376 Services                   0     14,272 K
RstMwService.exe              5396 Services                   0      9,488 K
ELANFPService.exe             5408 Services                   0      5,764 K
WMIRegistrationService.ex     5420 Services                   0     15,024 K
